time,flex0,flex1,flex2,flex3,flex4,gyro
0.036,18.00,19.00,20.00,21.00,17.00,-59.40
0.073,18.00,19.00,20.00,21.00,17.00,-59.40
0.117,18.00,19.00,20.00,21.00,17.00,-59.40
0.156,19.00,20.00,21.00,22.00,18.00,-57.60
0.192,19.00,20.00,21.00,22.00,18.00,-57.60
0.236,20.00,21.00,22.00,23.00,19.00,-55.80
0.275,20.00,21.00,22.00,23.00,19.00,-55.80
0.312,21.00,22.00,23.00,24.00,20.00,-54.00
0.352,21.00,22.00,23.00,24.00,20.00,-54.00
0.396,21.00,22.00,23.00,24.00,20.00,-54.00
0.433,22.00,23.00,24.00,25.00,21.00,-52.20
0.473,22.00,23.00,24.00,25.00,21.00,-52.20
0.516,23.00,24.00,25.00,26.00,22.00,-50.40
0.552,23.00,24.00,25.00,26.00,22.00,-50.40
0.598,24.00,25.00,26.00,27.00,23.00,-48.60
0.636,24.00,25.00,26.00,27.00,23.00,-48.60
0.672,25.00,26.00,27.00,28.00,24.00,-46.80
0.716,25.00,26.00,27.00,28.00,24.00,-46.80
0.756,25.00,26.00,27.00,28.00,24.00,-46.80
0.795,26.00,27.00,28.00,29.00,25.00,-45.00
0.837,26.00,27.00,28.00,29.00,25.00,-45.00
0.876,27.00,28.00,29.00,30.00,26.00,-43.20
0.912,27.00,28.00,29.00,30.00,26.00,-43.20
0.956,28.00,29.00,30.00,31.00,27.00,-41.40
0.995,28.00,29.00,30.00,31.00,27.00,-41.40
1.033,28.00,29.00,30.00,31.00,27.00,-41.40
1.076,29.00,30.00,31.00,32.00,28.00,-39.60
1.115,29.00,30.00,31.00,32.00,28.00,-39.60
1.155,30.00,31.00,32.00,33.00,29.00,-37.80
1.196,30.00,31.00,32.00,33.00,29.00,-37.80
1.236,31.00,32.00,33.00,34.00,30.00,-36.00
1.273,31.00,32.00,33.00,34.00,30.00,-36.00
1.312,32.00,33.00,34.00,35.00,31.00,-34.20
1.352,32.00,33.00,34.00,35.00,31.00,-34.20
1.393,32.00,33.00,34.00,35.00,31.00,-34.20
1.433,33.00,34.00,35.00,36.00,32.00,-32.40
1.476,33.00,34.00,35.00,36.00,32.00,-32.40
1.512,34.00,35.00,36.00,37.00,33.00,-30.60
1.557,34.00,35.00,36.00,37.00,33.00,-30.60
1.596,35.00,36.00,37.00,38.00,34.00,-28.80
1.632,35.00,36.00,37.00,38.00,34.00,-28.80
1.675,35.00,36.00,37.00,38.00,34.00,-28.80
1.716,36.00,37.00,38.00,39.00,35.00,-27.00
1.753,36.00,37.00,38.00,39.00,35.00,-27.00
1.793,37.00,38.00,39.00,40.00,36.00,-25.20
1.836,37.00,38.00,39.00,40.00,36.00,-25.20
1.873,38.00,39.00,40.00,41.00,37.00,-23.40
1.915,38.00,39.00,40.00,41.00,37.00,-23.40
1.956,39.00,40.00,41.00,42.00,38.00,-21.60
1.992,39.00,40.00,41.00,42.00,38.00,-21.60
2.035,39.00,40.00,41.00,42.00,38.00,-21.60
2.076,40.00,41.00,42.00,43.00,39.00,-19.80
2.113,40.00,41.00,42.00,43.00,39.00,-19.80
2.156,41.00,42.00,43.00,44.00,40.00,-18.00
2.196,41.00,42.00,43.00,44.00,40.00,-18.00
2.235,42.00,43.00,44.00,45.00,41.00,-16.20
2.275,42.00,43.00,44.00,45.00,41.00,-16.20
2.315,43.00,44.00,45.00,46.00,42.00,-14.40
2.352,43.00,44.00,45.00,46.00,42.00,-14.40
2.395,43.00,44.00,45.00,46.00,42.00,-14.40
2.436,44.00,45.00,46.00,47.00,43.00,-12.60
2.472,44.00,45.00,46.00,47.00,43.00,-12.60
2.517,45.00,46.00,47.00,48.00,44.00,-10.80
2.556,45.00,46.00,47.00,48.00,44.00,-10.80
2.592,46.00,47.00,48.00,49.00,45.00,-9.00
2.636,46.00,47.00,48.00,49.00,45.00,-9.00
2.676,46.00,47.00,48.00,49.00,45.00,-9.00
2.712,47.00,48.00,49.00,50.00,46.00,-7.20
2.753,47.00,48.00,49.00,50.00,46.00,-7.20
2.796,48.00,49.00,50.00,51.00,47.00,-5.40
2.833,48.00,49.00,50.00,51.00,47.00,-5.40
2.874,49.00,50.00,51.00,52.00,48.00,-3.60
2.916,49.00,50.00,51.00,52.00,48.00,-3.60
2.952,49.00,50.00,51.00,52.00,48.00,-3.60
2.996,50.00,51.00,52.00,53.00,49.00,-1.80
3.036,50.00,51.00,52.00,53.00,49.00,-1.80
3.074,51.00,52.00,53.00,54.00,50.00,0.00
3.117,51.00,52.00,53.00,54.00,50.00,0.00
3.156,52.00,53.00,54.00,55.00,51.00,1.80
3.194,52.00,53.00,54.00,55.00,51.00,1.80
3.234,53.00,54.00,55.00,56.00,52.00,3.60
3.275,53.00,54.00,55.00,56.00,52.00,3.60
3.314,53.00,54.00,55.00,56.00,52.00,3.60
3.358,54.00,55.00,56.00,57.00,53.00,5.40
3.396,54.00,55.00,56.00,57.00,53.00,5.40
3.435,55.00,56.00,57.00,58.00,54.00,7.20
3.478,55.00,56.00,57.00,58.00,54.00,7.20
3.516,56.00,57.00,58.00,59.00,55.00,9.00
3.556,56.00,57.00,58.00,59.00,55.00,9.00
3.596,57.00,58.00,59.00,60.00,56.00,10.80
3.636,57.00,58.00,59.00,60.00,56.00,10.80
3.673,57.00,58.00,59.00,60.00,56.00,10.80
3.718,58.00,59.00,60.00,61.00,57.00,12.60
3.756,58.00,59.00,60.00,61.00,57.00,12.60
3.793,59.00,60.00,61.00,62.00,58.00,14.40
3.84,59.00,60.00,61.00,62.00,58.00,14.40
3.876,60.00,61.00,62.00,63.00,59.00,16.20
3.914,60.00,61.00,62.00,63.00,59.00,16.20
3.958,60.00,61.00,62.00,63.00,59.00,16.20
3.995,61.00,62.00,63.00,64.00,60.00,18.00
4.034,61.00,62.00,63.00,64.00,60.00,18.00
4.077,62.00,63.00,64.00,65.00,61.00,19.80
4.114,62.00,63.00,64.00,65.00,61.00,19.80
4.155,63.00,64.00,65.00,66.00,62.00,21.60
4.195,63.00,64.00,65.00,66.00,62.00,21.60
4.233,63.00,64.00,65.00,66.00,62.00,21.60
4.275,64.00,65.00,66.00,67.00,63.00,23.40
4.312,64.00,65.00,66.00,67.00,63.00,23.40
4.356,65.00,66.00,67.00,68.00,64.00,25.20
4.393,65.00,66.00,67.00,68.00,64.00,25.20
4.436,66.00,67.00,68.00,69.00,65.00,27.00
4.476,66.00,67.00,68.00,69.00,65.00,27.00
4.512,67.00,68.00,69.00,70.00,66.00,28.80
4.558,67.00,68.00,69.00,70.00,66.00,28.80
4.595,67.00,68.00,69.00,70.00,66.00,28.80
4.633,68.00,69.00,70.00,71.00,67.00,30.60
4.675,68.00,69.00,70.00,71.00,67.00,30.60
4.715,69.00,70.00,71.00,72.00,68.00,32.40
4.753,69.00,70.00,71.00,72.00,68.00,32.40
4.795,70.00,71.00,72.00,73.00,69.00,34.20
4.836,70.00,71.00,72.00,73.00,69.00,34.20
4.872,70.00,71.00,72.00,73.00,69.00,34.20
4.916,71.00,72.00,73.00,74.00,70.00,36.00
4.955,71.00,72.00,73.00,74.00,70.00,36.00
4.992,72.00,73.00,74.00,75.00,71.00,37.80
5.035,72.00,73.00,74.00,75.00,71.00,37.80
5.076,73.00,74.00,75.00,76.00,72.00,39.60
5.113,73.00,74.00,75.00,76.00,72.00,39.60
5.158,73.00,74.00,75.00,76.00,72.00,39.60
5.196,74.00,75.00,76.00,77.00,73.00,41.40
5.235,74.00,75.00,76.00,77.00,73.00,41.40
