time,flex0,flex1,flex2,flex3,flex4,gyro
9.63,19.00,20.00,21.00,22.00,18.00,-57.60
9.67,19.00,20.00,21.00,22.00,18.00,-57.60
9.71,20.00,21.00,22.00,23.00,19.00,-55.80
9.758,20.00,21.00,22.00,23.00,19.00,-55.80
9.796,21.00,22.00,23.00,24.00,20.00,-54.00
9.834,21.00,22.00,23.00,24.00,20.00,-54.00
9.876,21.00,22.00,23.00,24.00,20.00,-54.00
9.917,22.00,23.00,24.00,25.00,21.00,-52.20
9.954,22.00,23.00,24.00,25.00,21.00,-52.20
10.0,23.00,24.00,25.00,26.00,22.00,-50.40
10.037,23.00,24.00,25.00,26.00,22.00,-50.40
10.075,24.00,25.00,26.00,27.00,23.00,-48.60
10.119,24.00,25.00,26.00,27.00,23.00,-48.60
10.157,24.00,25.00,26.00,27.00,23.00,-48.60
10.194,25.00,26.00,27.00,28.00,24.00,-46.80
10.239,25.00,26.00,27.00,28.00,24.00,-46.80
10.277,26.00,27.00,28.00,29.00,25.00,-45.00
10.316,26.00,27.00,28.00,29.00,25.00,-45.00
10.358,27.00,28.00,29.00,30.00,26.00,-43.20
10.391,27.00,28.00,29.00,30.00,26.00,-43.20
10.435,27.00,28.00,29.00,30.00,26.00,-43.20
10.475,28.00,29.00,30.00,31.00,27.00,-41.40
10.518,28.00,29.00,30.00,31.00,27.00,-41.40
10.554,29.00,30.00,31.00,32.00,28.00,-39.60
10.598,29.00,30.00,31.00,32.00,28.00,-39.60
10.632,30.00,31.00,32.00,33.00,29.00,-37.80
10.673,30.00,31.00,32.00,33.00,29.00,-37.80
10.72,30.00,31.00,32.00,33.00,29.00,-37.80
10.758,31.00,32.00,33.00,34.00,30.00,-36.00
10.794,31.00,32.00,33.00,34.00,30.00,-36.00
10.838,32.00,33.00,34.00,35.00,31.00,-34.20
10.877,32.00,33.00,34.00,35.00,31.00,-34.20
10.914,33.00,34.00,35.00,36.00,32.00,-32.40
10.956,33.00,34.00,35.00,36.00,32.00,-32.40
10.997,34.00,35.00,36.00,37.00,33.00,-30.60
11.035,34.00,35.00,36.00,37.00,33.00,-30.60
11.077,34.00,35.00,36.00,37.00,33.00,-30.60
11.118,35.00,36.00,37.00,38.00,34.00,-28.80
11.154,35.00,36.00,37.00,38.00,34.00,-28.80
11.196,36.00,37.00,38.00,39.00,35.00,-27.00
11.238,36.00,37.00,38.00,39.00,35.00,-27.00
11.274,37.00,38.00,39.00,40.00,36.00,-25.20
11.321,37.00,38.00,39.00,40.00,36.00,-25.20
11.358,38.00,39.00,40.00,41.00,37.00,-23.40
11.395,38.00,39.00,40.00,41.00,37.00,-23.40
11.436,38.00,39.00,40.00,41.00,37.00,-23.40
11.476,39.00,40.00,41.00,42.00,38.00,-21.60
11.514,39.00,40.00,41.00,42.00,38.00,-21.60
11.56,40.00,41.00,42.00,43.00,39.00,-19.80
11.598,40.00,41.00,42.00,43.00,39.00,-19.80
11.63,41.00,42.00,43.00,44.00,40.00,-18.00
11.67,41.00,42.00,43.00,44.00,40.00,-18.00
11.71,41.00,42.00,43.00,44.00,40.00,-18.00
11.754,42.00,43.00,44.00,45.00,41.00,-16.20
11.8,42.00,43.00,44.00,45.00,41.00,-16.20
11.836,43.00,44.00,45.00,46.00,42.00,-14.40
11.874,43.00,44.00,45.00,46.00,42.00,-14.40
11.918,44.00,45.00,46.00,47.00,43.00,-12.60
11.958,44.00,45.00,46.00,47.00,43.00,-12.60
11.994,45.00,46.00,47.00,48.00,44.00,-10.80
12.039,45.00,46.00,47.00,48.00,44.00,-10.80
12.077,45.00,46.00,47.00,48.00,44.00,-10.80
12.114,46.00,47.00,48.00,49.00,45.00,-9.00
