time,flex0,flex1,flex2,flex3,flex4,gyro
0.036,22.00,23.00,24.00,25.00,21.00,-52.20
0.071,23.00,24.00,25.00,26.00,22.00,-50.40
0.118,23.00,24.00,25.00,26.00,22.00,-50.40
0.15,24.00,25.00,26.00,27.00,23.00,-48.60
0.189,24.00,25.00,26.00,27.00,23.00,-48.60
0.229,25.00,26.00,27.00,28.00,24.00,-46.80
0.273,25.00,26.00,27.00,28.00,24.00,-46.80
0.311,26.00,27.00,28.00,29.00,25.00,-45.00
0.358,26.00,27.00,28.00,29.00,25.00,-45.00
0.393,26.00,27.00,28.00,29.00,25.00,-45.00
0.437,27.00,28.00,29.00,30.00,26.00,-43.20
0.477,27.00,28.00,29.00,30.00,26.00,-43.20
0.514,28.00,29.00,30.00,31.00,27.00,-41.40
0.551,28.00,29.00,30.00,31.00,27.00,-41.40
0.593,28.00,29.00,30.00,31.00,27.00,-41.40
0.634,29.00,30.00,31.00,32.00,28.00,-39.60
0.671,29.00,30.00,31.00,32.00,28.00,-39.60
0.718,30.00,31.00,32.00,33.00,29.00,-37.80
0.754,30.00,31.00,32.00,33.00,29.00,-37.80
0.796,31.00,32.00,33.00,34.00,30.00,-36.00
0.838,31.00,32.00,33.00,34.00,30.00,-36.00
0.871,32.00,33.00,34.00,35.00,31.00,-34.20
0.911,32.00,33.00,34.00,35.00,31.00,-34.20
0.957,32.00,33.00,34.00,35.00,31.00,-34.20
0.997,33.00,34.00,35.00,36.00,32.00,-32.40
1.031,33.00,34.00,35.00,36.00,32.00,-32.40
1.079,34.00,35.00,36.00,37.00,33.00,-30.60
1.114,34.00,35.00,36.00,37.00,33.00,-30.60
1.152,35.00,36.00,37.00,38.00,34.00,-28.80
1.198,35.00,36.00,37.00,38.00,34.00,-28.80
1.236,36.00,37.00,38.00,39.00,35.00,-27.00
1.27,36.00,37.00,38.00,39.00,35.00,-27.00
1.318,36.00,37.00,38.00,39.00,35.00,-27.00
1.354,37.00,38.00,39.00,40.00,36.00,-25.20
1.391,37.00,38.00,39.00,40.00,36.00,-25.20
1.437,38.00,39.00,40.00,41.00,37.00,-23.40
1.475,38.00,39.00,40.00,41.00,37.00,-23.40
1.517,39.00,40.00,41.00,42.00,38.00,-21.60
1.55,39.00,40.00,41.00,42.00,38.00,-21.60
1.593,39.00,40.00,41.00,42.00,38.00,-21.60
1.629,40.00,41.00,42.00,43.00,39.00,-19.80
1.677,40.00,41.00,42.00,43.00,39.00,-19.80
1.714,41.00,42.00,43.00,44.00,40.00,-18.00
1.753,41.00,42.00,43.00,44.00,40.00,-18.00
1.79,42.00,43.00,44.00,45.00,41.00,-16.20
1.834,42.00,43.00,44.00,45.00,41.00,-16.20
1.871,42.00,43.00,44.00,45.00,41.00,-16.20
1.916,43.00,44.00,45.00,46.00,42.00,-14.40
1.955,43.00,44.00,45.00,46.00,42.00,-14.40
1.991,44.00,45.00,46.00,47.00,43.00,-12.60
2.026,44.00,45.00,46.00,47.00,43.00,-12.60
2.068,45.00,46.00,47.00,48.00,44.00,-10.80
2.106,45.00,46.00,47.00,48.00,44.00,-10.80
2.155,45.00,46.00,47.00,48.00,44.00,-10.80
2.195,46.00,47.00,48.00,49.00,45.00,-9.00
2.234,46.00,47.00,48.00,49.00,45.00,-9.00
2.273,47.00,48.00,49.00,50.00,46.00,-7.20
2.313,47.00,48.00,49.00,50.00,46.00,-7.20
2.351,48.00,49.00,50.00,51.00,47.00,-5.40
2.397,48.00,49.00,50.00,51.00,47.00,-5.40
2.434,49.00,50.00,51.00,52.00,48.00,-3.60
2.474,49.00,50.00,51.00,52.00,48.00,-3.60
2.517,50.00,51.00,52.00,53.00,49.00,-1.80
2.553,50.00,51.00,52.00,53.00,49.00,-1.80
2.593,50.00,51.00,52.00,53.00,49.00,-1.80
2.637,51.00,52.00,53.00,54.00,50.00,0.00
2.673,51.00,52.00,53.00,54.00,50.00,0.00
2.711,52.00,53.00,54.00,55.00,51.00,1.80
2.75,52.00,53.00,54.00,55.00,51.00,1.80
2.788,53.00,54.00,55.00,56.00,52.00,3.60
2.832,53.00,54.00,55.00,56.00,52.00,3.60
2.871,53.00,54.00,55.00,56.00,52.00,3.60
2.912,54.00,55.00,56.00,57.00,53.00,5.40
2.951,54.00,55.00,56.00,57.00,53.00,5.40
2.997,55.00,56.00,57.00,58.00,54.00,7.20
3.033,55.00,56.00,57.00,58.00,54.00,7.20
3.07,56.00,57.00,58.00,59.00,55.00,9.00
3.11,56.00,57.00,58.00,59.00,55.00,9.00
3.154,56.00,57.00,58.00,59.00,55.00,9.00
3.19,57.00,58.00,59.00,60.00,56.00,10.80
3.237,57.00,58.00,59.00,60.00,56.00,10.80
3.274,58.00,59.00,60.00,61.00,57.00,12.60
3.314,58.00,59.00,60.00,61.00,57.00,12.60
3.357,59.00,60.00,61.00,62.00,58.00,14.40
3.395,59.00,60.00,61.00,62.00,58.00,14.40
3.43,60.00,61.00,62.00,63.00,59.00,16.20
3.476,60.00,61.00,62.00,63.00,59.00,16.20
3.514,60.00,61.00,62.00,63.00,59.00,16.20
3.55,61.00,62.00,63.00,64.00,60.00,18.00
3.597,61.00,62.00,63.00,64.00,60.00,18.00
