time,flex0,flex1,flex2,flex3,flex4,gyro
4.611,39.00,40.00,41.00,42.00,38.00,-21.60
4.642,40.00,41.00,42.00,43.00,39.00,-19.80
4.687,40.00,41.00,42.00,43.00,39.00,-19.80
4.721,41.00,42.00,43.00,44.00,40.00,-18.00
4.761,41.00,42.00,43.00,44.00,40.00,-18.00
4.803,41.00,42.00,43.00,44.00,40.00,-18.00
4.851,42.00,43.00,44.00,45.00,41.00,-16.20
4.887,42.00,43.00,44.00,45.00,41.00,-16.20
4.928,43.00,44.00,45.00,46.00,42.00,-14.40
4.971,43.00,44.00,45.00,46.00,42.00,-14.40
5.007,44.00,45.00,46.00,47.00,43.00,-12.60
5.044,44.00,45.00,46.00,47.00,43.00,-12.60
5.09,44.00,45.00,46.00,47.00,43.00,-12.60
5.127,45.00,46.00,47.00,48.00,44.00,-10.80
5.165,45.00,46.00,47.00,48.00,44.00,-10.80
5.21,46.00,47.00,48.00,49.00,45.00,-9.00
5.246,46.00,47.00,48.00,49.00,45.00,-9.00
5.284,47.00,48.00,49.00,50.00,46.00,-7.20
5.326,47.00,48.00,49.00,50.00,46.00,-7.20
5.369,47.00,48.00,49.00,50.00,46.00,-7.20
5.408,48.00,49.00,50.00,51.00,47.00,-5.40
5.448,48.00,49.00,50.00,51.00,47.00,-5.40
5.487,49.00,50.00,51.00,52.00,48.00,-3.60
5.524,49.00,50.00,51.00,52.00,48.00,-3.60
5.57,50.00,51.00,52.00,53.00,49.00,-1.80
5.607,50.00,51.00,52.00,53.00,49.00,-1.80
5.647,50.00,51.00,52.00,53.00,49.00,-1.80
5.69,51.00,52.00,53.00,54.00,50.00,0.00
5.727,51.00,52.00,53.00,54.00,50.00,0.00
5.764,52.00,53.00,54.00,55.00,51.00,1.80
5.81,52.00,53.00,54.00,55.00,51.00,1.80
5.847,53.00,54.00,55.00,56.00,52.00,3.60
5.884,53.00,54.00,55.00,56.00,52.00,3.60
5.931,54.00,55.00,56.00,57.00,53.00,5.40
5.966,54.00,55.00,56.00,57.00,53.00,5.40
6.005,54.00,55.00,56.00,57.00,53.00,5.40
6.049,55.00,56.00,57.00,58.00,54.00,7.20
6.089,55.00,56.00,57.00,58.00,54.00,7.20
6.127,56.00,57.00,58.00,59.00,55.00,9.00
6.17,56.00,57.00,58.00,59.00,55.00,9.00
6.207,57.00,58.00,59.00,60.00,56.00,10.80
6.244,57.00,58.00,59.00,60.00,56.00,10.80
6.288,57.00,58.00,59.00,60.00,56.00,10.80
6.328,58.00,59.00,60.00,61.00,57.00,12.60
6.366,58.00,59.00,60.00,61.00,57.00,12.60
6.41,59.00,60.00,61.00,62.00,58.00,14.40
6.447,59.00,60.00,61.00,62.00,58.00,14.40
6.484,60.00,61.00,62.00,63.00,59.00,16.20
6.53,60.00,61.00,62.00,63.00,59.00,16.20
6.567,61.00,62.00,63.00,64.00,60.00,18.00
6.602,61.00,62.00,63.00,64.00,60.00,18.00
