time,flex0,flex1,flex2,flex3,flex4,gyro
0.044,68,31,27,60,66,-0.01
0.086,68,31,27,60,66,-0.01
0.122,68,31,27,60,66,-0.01
0.162,68,31,27,60,66,-0.01
0.203,68,31,27,60,66,-0.01
0.254,68,31,27,60,66,-0.01
0.284,68,31,27,60,66,-0.01
0.324,68,31,27,60,66,-0.01
0.364,68,31,27,60,66,-0.01
0.404,68,31,27,60,66,-0.01
0.444,68,31,27,60,66,-0.01
0.483,68,31,27,60,66,-0.01
0.523,68,31,27,60,66,-0.01
0.563,68,31,27,60,66,-0.01
0.618,68,31,27,60,66,-0.01
0.646,68,31,27,60,66,-0.01
0.683,68,31,27,60,66,-0.01
0.73,68,31,27,60,66,-0.01
0.763,68,31,27,60,66,-0.01
0.802,68,31,27,60,66,-0.01
0.858,68,31,27,60,66,-0.01
0.887,68,31,27,60,66,-0.01
0.923,68,31,27,60,66,-0.01
0.973,68,31,27,60,66,-0.01
1.004,68,31,27,60,66,-0.01
1.043,68,31,27,60,66,-0.01
1.099,68,31,27,60,66,-0.01
1.126,68,31,27,60,66,-0.01
1.163,68,31,27,60,66,-0.01
1.202,68,31,27,60,66,-0.01
1.242,68,31,27,60,66,-0.01
1.283,68,31,27,60,66,-0.01
1.329,68,31,27,60,66,-0.01
1.362,68,31,27,60,66,-0.01
1.402,68,31,27,60,66,-0.01
1.458,68,31,27,60,66,-0.01
1.486,68,31,27,60,66,-0.01
1.522,68,31,27,60,66,-0.01
1.562,68,31,27,60,66,-0.01
1.603,68,31,27,60,66,-0.01
1.642,68,31,27,60,66,-0.01
1.684,68,31,27,60,66,-0.01
1.723,68,31,27,60,66,-0.01
1.763,68,31,27,60,66,-0.01
1.817,68,31,27,60,66,-0.01
1.85,68,31,27,60,66,-0.01
1.885,68,31,27,60,66,-0.01
1.93,68,31,27,60,66,-0.01
1.963,68,31,27,60,66,-0.01
2.003,68,31,27,60,66,-0.01
2.049,68,31,27,60,66,-0.01
2.083,68,31,27,60,66,-0.01
2.123,68,31,27,60,66,-0.01
2.172,68,31,27,60,66,-0.01
2.212,68,31,27,60,66,-0.01
