time,flex0,flex1,flex2,flex3,flex4,gyro
0.008,100,100,100,100,100,-0.01
0.05,100,100,100,100,100,-0.01
0.089,100,100,100,100,100,-0.01
0.129,100,100,100,100,100,-0.01
0.169,100,100,100,100,100,-0.01
0.247,100,100,100,100,100,-0.01
0.287,100,100,100,100,100,-0.01
0.34,100,100,100,100,100,-0.01
0.372,100,100,100,100,100,-0.01
0.41,100,100,100,100,100,-0.01
0.448,100,100,100,100,100,-0.01
0.516,100,100,100,100,100,-0.01
0.584,100,100,100,100,100,-0.01
0.624,100,100,100,100,100,-0.01
0.665,100,100,100,100,100,-0.01
0.704,100,100,100,100,100,-0.01
0.744,100,100,100,100,100,-0.01
0.784,100,100,100,100,100,-0.01
0.824,100,100,100,100,100,-0.01
0.864,100,100,100,100,100,-0.01
